feed_flow_m3_h,feed_temp_C,reflux_ratio_LD,reboiler_steam_t_h,top_pressure_bar_a,top_temp_C,bottoms_temp_C,purity_lab_pct_vv
12.73,85.76,2.81,2.1,1.156,77.98,101.81,94.4
11.71,87.34,2.46,2.56,1.149,78.0,102.1,94.03
10.96,85.18,3.18,2.42,1.156,78.2,102.71,94.99
11.83,85.72,2.36,2.93,1.176,78.11,102.17,94.47
12.01,88.13,2.71,1.98,1.138,77.98,101.68,93.69
12.07,89.11,3.23,1.83,1.144,78.11,102.17,93.63
12.79,87.69,3.66,2.67,1.175,78.51,103.72,94.83
12.19,88.79,3.46,2.11,1.174,78.29,102.48,94.25
12.49,85.11,2.89,1.95,1.145,77.97,101.61,94.26
11.34,85.33,2.6,2.25,1.143,78.1,101.5,94.33
12.52,86.7,3.46,2.41,1.158,78.36,102.68,94.87
13.26,85.34,3.53,1.7,1.145,78.18,102.05,94.29
12.46,84.88,2.66,1.57,1.132,77.88,101.06,93.64
12.15,89.63,3.66,1.61,1.154,78.13,101.75,93.52
12.09,85.56,3.07,2.71,1.15,78.45,102.63,94.99
13.07,83.87,2.53,3.26,1.164,78.44,102.76,94.94
11.44,87.07,3.77,1.93,1.168,78.26,102.4,94.46
11.93,90.04,2.42,2.67,1.18,78.28,101.88,93.57
12.28,86.18,3.02,2.59,1.158,78.42,102.62,94.74
12.45,88.71,3.19,3.22,1.166,78.44,103.21,94.62
11.74,85.04,3.43,2.06,1.169,78.06,102.46,94.82
12.18,84.92,3.4,2.31,1.163,78.26,102.35,95.12
11.83,84.48,3.76,2.36,1.165,78.48,103.08,95.35
12.07,85.68,2.22,3.15,1.167,78.32,102.1,94.37
11.92,90.04,2.64,2.98,1.165,78.36,102.88,94.05
11.32,83.46,3.18,2.84,1.167,78.43,103.16,95.43
11.99,89.6,3.38,3.13,1.177,78.66,103.85,94.66
12.53,83.78,3.53,2.66,1.179,78.53,102.95,95.39
11.42,85.49,2.72,2.39,1.154,78.1,101.7,94.56
11.86,87.84,2.65,2.11,1.125,78.03,101.29,93.82
12.4,87.39,2.94,2.26,1.165,78.24,102.03,94.31
11.36,86.62,2.66,2.05,1.129,77.95,101.81,94.07
12.11,82.37,2.7,1.84,1.151,77.89,101.53,94.71
11.36,86.8,3.13,1.67,1.146,77.95,101.76,93.98
12.68,83.75,2.6,1.81,1.132,78.01,100.92,94.1
13.39,91.65,3.33,2.0,1.161,78.24,102.44,93.64
13.21,85.53,2.36,2.98,1.155,78.29,102.49,94.36
11.87,86.42,2.9,2.95,1.172,78.35,102.7,94.92
12.44,83.48,2.71,2.12,1.162,78.04,101.09,94.72
12.07,84.95,3.09,1.63,1.135,78.08,101.32,94.39
12.06,83.16,3.76,1.74,1.169,78.21,102.29,94.73
12.93,88.16,3.66,2.69,1.176,78.61,103.68,94.76
11.21,85.42,3.42,1.88,1.156,78.17,102.19,94.56
12.63,87.24,3.63,2.46,1.187,78.43,103.0,94.83
11.97,84.49,2.86,1.85,1.129,78.04,101.9,94.4
12.85,84.9,2.47,3.05,1.169,78.35,102.89,94.58
12.11,88.83,3.75,2.25,1.153,78.54,102.99,94.39
11.6,83.86,3.36,2.76,1.168,78.43,103.22,95.47
12.17,82.04,2.99,2.36,1.155,78.34,102.55,95.38
12.44,86.89,3.09,2.12,1.163,78.1,101.9,94.26
12.02,83.49,3.39,2.25,1.173,78.23,102.63,95.05
12.29,85.03,3.01,1.83,1.135,77.86,101.55,94.41
11.69,88.01,3.76,1.64,1.157,78.26,101.98,94.02
10.72,84.2,3.35,2.69,1.179,78.54,103.11,95.5
12.54,87.93,2.75,3.26,1.162,78.35,103.3,94.42
12.42,84.5,2.26,1.99,1.135,77.83,101.52,93.86
12.09,89.28,2.74,2.66,1.174,78.21,102.52,94.14
12.04,88.92,3.14,2.78,1.187,78.28,103.16,94.55
12.62,84.96,3.58,1.53,1.144,78.11,101.86,94.14
11.73,85.53,3.1,2.22,1.154,78.22,101.84,94.71
11.58,84.17,3.3,2.45,1.16,78.29,102.52,95.3
11.89,86.44,2.76,1.51,1.124,77.77,101.13,93.42
12.71,88.53,2.7,2.3,1.147,78.11,101.74,93.9
11.17,82.82,2.74,2.18,1.155,78.12,102.25,94.85
12.72,88.02,3.24,2.1,1.159,78.09,102.5,94.19
11.62,83.09,3.56,2.15,1.158,78.3,102.54,95.27
11.34,84.11,2.9,2.28,1.162,78.2,102.47,94.85
12.76,82.07,3.65,2.59,1.19,78.27,103.33,95.66
11.94,90.63,3.74,1.51,1.148,78.17,102.43,93.43
11.22,86.13,3.73,1.85,1.16,78.39,102.37,94.56
11.78,86.54,3.64,1.58,1.152,78.04,102.2,94.0
12.56,84.51,3.57,2.64,1.165,78.58,103.1,95.44
12.72,88.35,3.3,2.2,1.163,78.22,102.39,94.25
11.74,81.37,2.82,1.78,1.145,78.01,101.69,94.73
12.24,86.06,2.42,2.62,1.172,78.11,102.43,94.3
12.43,90.85,2.75,1.55,1.132,77.77,101.11,92.73
11.61,85.16,2.47,1.81,1.128,77.73,101.16,93.8
12.21,86.04,2.51,2.32,1.144,78.23,101.5,94.22
11.98,87.48,3.66,2.55,1.187,78.37,103.09,94.72
11.68,84.21,3.38,1.69,1.158,78.08,102.0,94.44
11.7,86.05,3.31,3.06,1.178,78.65,103.08,95.18
12.04,88.11,3.79,2.78,1.192,78.62,103.45,94.92
12.02,86.43,3.17,3.23,1.194,78.57,103.17,95.09
11.66,86.82,2.41,2.93,1.14,78.07,102.35,94.54
11.74,85.23,3.35,2.81,1.194,78.42,103.34,95.29
12.67,86.69,2.77,1.64,1.131,77.79,101.28,93.58
12.13,86.12,2.43,2.72,1.164,78.02,102.02,94.33
12.53,89.2,2.7,3.21,1.175,78.44,102.69,94.25
12.72,87.59,2.39,2.97,1.159,78.3,101.95,94.18
12.35,85.46,2.96,2.03,1.148,78.03,101.85,94.4
13.36,80.62,2.61,2.14,1.146,77.97,101.97,95.12
11.5,87.57,2.79,1.91,1.15,78.03,101.46,93.77
12.49,87.66,2.55,3.25,1.17,78.45,102.81,94.43
11.81,83.98,2.87,2.62,1.152,78.18,102.33,95.11
13.11,81.6,3.32,2.1,1.153,78.31,102.02,95.17
13.02,83.49,3.7,2.03,1.157,78.38,102.84,95.12
10.83,88.04,2.51,1.58,1.133,77.8,101.03,93.19
11.42,83.66,2.62,1.61,1.119,77.75,100.66,93.91
12.4,84.99,3.2,2.54,1.184,78.38,102.37,95.26
12.47,86.48,2.24,3.21,1.165,78.32,102.78,94.27
12.44,88.69,3.37,2.49,1.171,78.5,102.57,94.46
11.96,85.96,3.71,2.45,1.192,78.41,103.08,95.01
12.27,85.78,2.48,2.9,1.158,78.36,102.11,94.45
12.39,84.79,3.73,1.61,1.153,78.15,102.22,94.38
11.95,89.59,3.01,1.91,1.155,78.1,101.56,93.69
12.62,88.35,3.65,1.67,1.163,78.16,101.99,93.71
10.64,85.79,3.49,1.87,1.148,78.2,101.93,94.46
12.38,82.93,3.23,2.75,1.2,78.53,103.39,95.41
11.38,84.26,3.42,1.6,1.154,78.02,102.43,94.33
12.58,87.27,2.97,1.73,1.128,78.05,101.56,93.74
11.86,84.41,2.4,1.79,1.127,77.82,101.16,93.79
11.47,87.96,2.44,3.18,1.177,78.32,102.77,94.31
12.22,86.8,3.1,1.96,1.153,78.05,101.9,94.32
11.45,86.64,2.98,1.6,1.146,77.96,101.34,93.76
11.45,87.44,2.55,2.63,1.179,78.01,102.02,94.04
11.06,87.1,3.31,2.61,1.183,78.37,103.05,94.84
11.98,84.12,3.53,2.34,1.192,78.44,102.49,95.27
12.3,85.28,3.41,1.95,1.165,78.26,102.01,94.61
12.61,91.15,3.58,1.94,1.155,78.12,102.54,93.74
11.91,83.34,3.79,1.52,1.171,78.08,101.77,94.51
12.63,84.96,3.47,2.4,1.165,78.34,103.18,94.93
12.01,88.34,3.51,2.44,1.184,78.54,102.8,94.36
11.94,85.65,3.53,2.78,1.191,78.48,103.33,95.27
12.34,84.21,3.22,3.21,1.18,78.57,103.78,95.37
12.64,83.09,2.39,3.17,1.16,78.28,102.55,94.95
11.8,87.18,3.03,2.77,1.17,78.39,102.8,94.7
11.85,88.24,3.27,2.21,1.166,78.17,102.22,94.33
11.9,89.08,3.04,3.25,1.199,78.55,103.45,94.7
12.05,86.12,2.98,3.15,1.182,78.51,103.31,94.86
11.46,88.3,2.21,2.53,1.164,78.11,101.45,93.69
12.62,83.73,3.3,2.21,1.172,78.18,102.56,94.95
11.76,86.37,2.33,2.93,1.152,78.27,102.46,94.3
12.28,84.51,3.4,2.19,1.158,78.43,102.59,95.02
11.5,86.38,2.36,3.01,1.163,78.3,102.17,94.42
12.22,87.65,3.44,3.0,1.183,78.62,103.67,94.93
12.23,88.35,3.51,1.97,1.16,78.04,102.67,94.06
11.75,83.82,3.2,2.34,1.172,78.37,102.32,95.15
13.21,88.79,2.82,2.24,1.154,78.27,101.51,94.03
12.22,84.96,2.96,2.16,1.163,78.23,101.82,94.73
13.07,83.74,3.2,2.63,1.165,78.41,102.79,95.46
12.58,85.62,2.85,2.66,1.156,78.34,102.77,94.82
11.6,82.78,3.25,2.84,1.165,78.69,103.36,95.5
11.77,86.01,2.47,2.67,1.137,78.1,102.25,94.36
12.26,86.64,2.87,3.08,1.172,78.39,102.8,94.79
12.04,85.56,3.19,2.96,1.182,78.56,103.33,95.23
12.03,87.18,3.5,1.88,1.157,78.22,102.22,94.18
11.83,85.31,2.32,2.87,1.157,78.01,101.91,94.52
10.91,86.01,2.29,3.21,1.186,78.3,102.08,94.48
11.86,82.83,3.3,2.26,1.154,78.3,102.7,95.19
10.67,86.09,3.27,1.74,1.146,78.01,101.43,94.3
12.22,84.13,3.22,3.16,1.183,78.58,103.7,95.35
11.56,85.01,2.2,3.19,1.154,78.27,102.94,94.43
11.57,85.79,2.7,2.21,1.162,77.93,101.8,94.35
11.87,86.42,2.82,3.26,1.18,78.5,102.91,94.86
12.16,82.38,2.25,2.69,1.163,78.27,101.72,94.61
11.14,82.56,3.02,3.1,1.169,78.61,102.96,95.65
10.95,85.34,2.23,2.08,1.152,77.79,101.25,93.66
11.36,87.04,2.97,1.63,1.161,77.85,101.63,93.69
10.77,86.79,3.23,3.03,1.175,78.51,103.08,94.99
11.42,87.96,3.65,1.76,1.159,78.23,102.15,94.24
12.95,88.86,3.01,3.27,1.184,78.42,103.16,94.58
11.37,87.09,2.31,2.77,1.16,78.09,102.31,94.08
12.39,85.96,2.66,3.14,1.16,78.48,103.04,94.64
11.18,83.73,3.17,3.11,1.19,78.54,103.1,95.51
12.18,83.92,2.28,2.59,1.156,78.15,101.72,94.41
11.81,84.97,2.87,1.69,1.132,77.94,101.41,94.28
11.96,86.59,2.85,2.83,1.147,78.41,102.23,94.45
12.34,86.49,3.13,2.57,1.162,78.28,102.51,94.78
13.05,86.01,2.65,2.42,1.149,78.08,102.0,94.14
12.12,85.66,2.91,3.14,1.187,78.38,102.73,95.09
12.07,87.39,3.6,2.29,1.167,78.22,102.84,94.6
11.42,86.46,3.01,2.03,1.139,78.07,101.9,94.49
12.35,86.66,3.11,1.73,1.151,77.92,101.52,93.93
11.85,86.68,3.75,2.25,1.179,78.36,103.14,94.92
12.5,84.8,2.21,2.03,1.139,77.87,100.86,93.83
11.97,83.73,3.72,2.06,1.17,78.34,102.75,95.22
13.04,87.08,2.82,3.25,1.191,78.49,103.04,94.68
10.81,86.92,3.46,2.15,1.17,78.25,102.75,94.37
11.82,85.52,2.46,2.2,1.124,77.99,101.35,94.11
12.53,85.09,2.8,3.11,1.178,78.5,103.06,94.82
11.79,91.01,3.06,3.16,1.192,78.49,103.4,94.35
11.52,84.33,2.85,2.2,1.152,78.11,102.2,94.78
11.84,85.52,3.08,2.72,1.187,78.16,103.14,95.0
11.17,86.58,3.56,2.97,1.186,78.5,103.17,95.22
12.07,83.46,2.7,2.82,1.172,78.37,102.47,95.1
13.46,86.26,2.8,2.9,1.158,78.27,102.42,94.62
12.69,89.96,2.22,3.03,1.159,78.12,102.47,93.76
11.33,88.05,3.32,1.76,1.146,78.18,102.23,93.98
11.48,87.39,2.6,2.06,1.132,77.89,101.44,93.89
11.76,87.3,3.02,3.13,1.169,78.56,103.22,94.68
12.6,86.25,3.75,2.59,1.187,78.51,103.6,95.01
11.51,88.11,2.37,3.26,1.174,78.28,102.71,94.17
11.59,85.66,3.74,1.66,1.152,78.03,102.18,94.32
12.53,85.07,3.27,2.7,1.164,78.51,102.53,95.08
12.52,86.22,3.26,2.81,1.17,78.3,102.86,94.98
11.78,87.99,2.21,2.06,1.139,77.77,101.35,93.24
11.33,86.73,2.74,2.67,1.15,78.3,102.0,94.57
11.07,87.48,2.35,2.0,1.145,77.79,101.26,93.44
11.58,81.55,2.48,1.59,1.109,77.83,100.9,94.04
10.66,88.62,2.96,1.87,1.148,78.03,101.65,93.76
12.45,91.15,2.97,1.87,1.152,78.01,101.86,93.43
11.62,88.94,3.47,1.7,1.165,78.04,101.8,93.82
12.29,85.3,3.43,2.68,1.175,78.4,103.41,95.18
13.12,84.13,2.45,2.18,1.134,78.01,101.39,94.2
12.7,86.61,2.81,2.32,1.14,78.06,102.27,94.33
11.31,83.83,3.28,1.53,1.153,78.06,101.45,94.34
12.52,87.6,2.46,2.76,1.156,78.2,102.24,94.27
12.69,84.84,2.35,3.02,1.158,78.28,102.28,94.4
11.55,88.11,2.79,1.57,1.128,77.9,101.54,93.28
11.43,89.0,3.43,1.94,1.161,78.24,101.97,94.08
11.93,81.53,2.32,1.55,1.121,77.76,100.48,93.9
11.04,86.64,2.84,2.26,1.165,78.19,102.33,94.43
12.88,84.46,2.85,2.57,1.141,78.27,102.55,94.96
10.56,82.9,3.45,2.92,1.195,78.56,103.36,95.61
11.34,84.64,3.69,2.72,1.182,78.47,103.31,95.58
11.84,85.52,3.6,1.66,1.155,78.02,101.77,94.2
11.86,88.27,2.24,2.31,1.137,77.97,101.37,93.57
12.1,82.65,3.61,2.19,1.17,78.42,102.78,95.41
12.16,88.31,2.38,1.73,1.134,77.73,101.19,93.21
11.87,90.44,2.57,3.05,1.171,78.19,102.84,94.02
12.68,87.31,2.74,3.05,1.158,78.32,103.13,94.63
10.72,87.2,3.68,1.96,1.165,78.31,102.58,94.62
12.0,85.97,2.51,1.94,1.135,77.99,101.11,93.87
11.57,83.41,2.23,3.18,1.167,78.23,102.33,94.79
12.08,87.18,2.53,2.63,1.156,78.07,102.47,94.4
12.13,86.84,2.66,2.47,1.154,78.14,102.07,94.26
11.45,87.61,2.9,2.8,1.18,78.38,103.0,94.47
11.62,91.65,2.52,2.02,1.128,77.95,101.0,93.0
12.48,87.6,2.42,2.08,1.16,78.02,101.24,93.8
12.21,86.94,2.22,3.02,1.154,78.16,102.04,94.2
11.59,89.44,3.37,1.64,1.139,78.15,101.88,93.54
13.22,83.04,2.46,3.06,1.174,78.41,102.32,94.96
13.39,83.49,2.51,3.13,1.18,78.25,102.33,94.98
11.12,85.17,3.06,3.27,1.2,78.47,103.35,95.35
12.18,84.56,3.01,1.74,1.157,78.05,101.0,94.09
13.51,87.53,3.17,2.3,1.167,78.49,102.22,94.35
12.47,85.3,2.31,2.97,1.161,78.25,102.37,94.4
12.13,89.83,3.23,2.55,1.175,78.34,102.44,94.33
11.88,89.34,2.51,3.24,1.172,78.47,102.76,94.1
11.68,87.69,3.38,2.7,1.173,78.43,102.82,94.78
11.87,85.15,3.31,3.01,1.202,78.4,103.25,95.31
11.67,87.36,2.75,1.7,1.154,77.83,101.31,93.36
12.45,87.78,3.79,1.56,1.157,78.28,102.25,94.11
11.76,83.65,2.63,2.39,1.149,77.97,102.02,94.87
11.74,86.77,2.26,2.06,1.129,77.77,100.98,93.71
11.28,87.55,3.59,2.63,1.165,78.55,103.54,94.83
11.97,86.48,3.13,1.53,1.134,77.98,101.53,93.79
11.46,89.46,2.88,1.72,1.134,78.05,101.25,93.61
11.89,88.67,2.82,2.2,1.151,78.02,102.22,94.17
12.63,84.18,2.88,2.07,1.139,78.02,101.71,94.61
12.22,86.27,3.45,2.33,1.151,78.31,103.16,94.71
12.3,84.16,3.65,2.12,1.176,78.23,102.86,95.07
12.21,87.28,2.43,2.14,1.157,77.94,101.4,93.76
12.04,84.09,3.59,2.15,1.148,78.3,102.51,95.17
11.92,88.03,3.51,2.75,1.182,78.57,103.03,94.69
11.82,86.85,2.61,1.84,1.145,77.91,101.09,93.73
12.46,88.14,2.38,2.31,1.132,77.97,101.51,93.75
11.35,85.68,3.31,2.03,1.144,78.23,102.53,94.6
12.8,82.8,3.73,1.53,1.155,78.23,102.09,94.63
12.02,89.88,3.46,1.81,1.154,78.24,102.07,93.64
11.55,85.62,3.8,1.68,1.154,78.24,102.39,94.27
11.71,89.03,3.67,2.22,1.189,78.34,102.72,94.37
11.59,86.95,2.66,1.57,1.145,77.8,100.71,93.49
12.1,87.48,2.55,2.19,1.151,77.91,101.25,93.9
11.57,90.03,2.33,2.51,1.147,78.06,102.1,93.48
12.69,86.75,2.25,1.69,1.12,77.75,100.66,93.2
11.53,89.08,3.19,2.45,1.176,78.43,102.95,94.39
10.64,82.73,2.46,2.64,1.152,78.16,102.5,94.91
11.56,87.92,3.49,2.89,1.202,78.6,103.44,94.91
10.79,85.47,3.11,2.42,1.177,78.37,102.63,94.9
11.98,85.71,3.11,2.24,1.154,78.06,102.16,94.76
12.64,86.02,3.1,3.1,1.191,78.44,103.19,95.04
12.39,86.76,2.76,2.29,1.168,78.1,101.96,94.22
11.2,89.65,2.9,3.06,1.184,78.43,102.97,94.33
11.54,81.92,2.59,2.29,1.139,77.97,102.14,94.93
13.07,86.1,3.4,2.21,1.163,78.35,102.48,94.73
12.19,84.42,3.57,2.47,1.174,78.49,103.19,95.29
12.0,88.56,2.36,2.16,1.14,77.99,101.41,93.45
12.63,85.07,2.43,2.29,1.145,78.07,101.76,94.23
13.47,87.0,2.78,2.11,1.145,77.97,102.21,94.11
12.78,85.13,3.41,2.88,1.194,78.6,102.9,95.35
12.08,87.47,2.48,3.12,1.182,78.26,102.89,94.35
12.21,88.23,2.46,1.99,1.131,77.77,101.14,93.71
12.37,85.13,3.47,1.76,1.14,78.16,102.1,94.43
11.63,86.11,2.2,2.65,1.152,78.1,101.7,94.14
11.36,82.88,3.68,2.47,1.181,78.4,102.97,95.56
12.03,86.67,3.06,2.56,1.172,78.16,102.22,94.62
11.43,87.88,3.09,2.55,1.161,78.21,101.91,94.57
11.96,84.78,3.29,3.22,1.195,78.58,104.07,95.43
12.06,88.46,2.33,1.92,1.123,77.66,101.3,93.3
13.4,81.44,2.21,1.62,1.131,77.8,100.56,93.8
11.49,81.93,2.52,3.12,1.187,78.41,102.2,95.26
11.93,82.95,2.7,2.58,1.15,78.18,102.39,94.99
11.9,84.93,2.7,3.28,1.153,78.52,103.4,94.96
12.26,86.04,2.51,2.21,1.139,78.0,101.7,94.17
12.63,85.83,2.79,1.88,1.137,77.89,101.09,94.17
11.71,85.85,2.32,2.2,1.141,78.0,101.27,93.66
11.51,87.59,2.52,1.54,1.126,77.83,100.91,93.19
11.02,84.96,3.62,2.12,1.174,78.24,102.6,95.09
11.44,83.22,2.22,2.61,1.175,77.95,102.03,94.67
12.32,83.26,2.97,2.74,1.165,78.25,102.43,95.31
12.03,90.65,2.78,1.75,1.134,78.03,101.18,93.22
11.39,80.83,3.22,2.22,1.167,78.21,101.71,95.51
11.78,85.61,3.6,2.09,1.15,78.52,102.85,94.8
12.02,89.21,2.56,1.83,1.143,77.84,101.37,93.35
12.3,87.06,2.61,1.93,1.133,77.99,101.27,93.68
11.64,84.17,3.03,2.17,1.142,78.18,101.64,94.78
11.85,86.0,3.75,1.87,1.157,78.25,102.68,94.57
10.91,87.9,3.7,2.1,1.176,78.4,102.34,94.4
11.31,88.66,2.97,3.23,1.193,78.43,102.92,94.62
12.97,84.02,3.06,2.07,1.167,78.13,101.52,94.6
10.69,87.67,3.28,2.73,1.183,78.33,102.62,94.85
11.8,86.56,2.27,1.69,1.117,77.59,100.52,93.22
12.13,88.43,3.71,2.8,1.196,78.58,103.22,94.77
11.78,89.06,3.52,1.84,1.158,78.1,102.46,93.86
11.52,85.24,3.76,2.04,1.194,78.23,102.85,94.83
11.96,82.81,2.42,2.15,1.12,78.01,101.45,94.3
12.0,86.87,2.76,1.6,1.15,77.87,101.01,93.5
11.95,89.91,2.52,2.49,1.16,78.14,101.91,93.74
10.87,87.51,3.59,2.18,1.175,78.47,102.33,94.75
11.91,86.51,3.01,1.94,1.149,78.09,101.89,94.18
11.49,91.28,2.95,2.06,1.146,78.13,101.63,93.55
11.67,83.71,3.52,1.79,1.148,78.08,102.0,94.88
12.14,87.99,2.25,3.12,1.148,78.31,102.46,94.15
12.38,84.75,2.48,2.49,1.172,78.16,101.66,94.44
12.54,86.11,3.33,2.09,1.171,78.14,101.94,94.68
11.7,86.2,3.69,2.11,1.178,78.38,102.93,94.88
12.55,89.33,2.52,1.62,1.132,77.84,100.48,92.96
12.7,83.94,3.64,1.89,1.145,78.23,102.05,94.73
12.68,84.82,3.64,2.32,1.173,78.4,102.57,95.0
12.83,82.5,3.69,1.66,1.16,78.37,101.98,94.82
11.91,87.07,3.34,1.74,1.164,78.05,101.86,94.29
11.9,84.99,2.54,3.25,1.164,78.35,102.0,94.8
12.5,86.93,2.34,1.73,1.13,77.8,100.74,93.42
11.18,83.64,2.22,2.57,1.145,78.03,102.06,94.66
12.13,85.21,2.85,1.65,1.138,77.78,101.59,93.82
11.68,88.29,2.99,3.09,1.173,78.51,103.3,94.58
11.78,85.62,2.35,2.65,1.157,78.19,101.91,94.47
10.96,87.38,2.47,2.42,1.15,78.21,101.84,94.19
11.47,87.16,2.75,2.0,1.126,77.97,101.45,94.06
11.99,85.22,2.22,2.54,1.159,77.94,101.25,94.17
12.53,82.57,2.91,2.74,1.192,78.37,102.7,95.4
12.59,88.17,2.5,3.27,1.165,78.29,103.06,94.18
11.95,86.38,2.23,1.85,1.139,77.81,100.97,93.65
11.89,88.16,3.23,1.74,1.14,78.04,101.77,93.73
11.5,81.57,2.62,2.4,1.148,78.12,102.14,94.96
12.24,82.36,3.41,3.06,1.208,78.54,103.56,95.78
11.85,81.29,2.71,2.68,1.165,78.29,102.62,95.53
12.36,84.07,2.24,3.1,1.178,78.16,102.23,94.52
13.05,88.29,3.27,3.12,1.192,78.74,102.96,94.73
11.98,87.25,2.54,2.39,1.161,78.14,101.95,94.02
11.1,85.92,3.39,1.55,1.146,78.0,101.95,94.02
11.48,86.29,3.55,2.77,1.201,78.44,103.09,95.04
11.13,87.67,3.46,1.79,1.175,78.14,102.14,94.03
11.28,85.34,3.44,2.52,1.184,78.36,103.08,95.0
12.78,86.87,2.44,1.74,1.124,77.76,100.29,93.33
12.14,86.31,3.57,2.22,1.168,78.45,103.3,94.96
11.09,81.19,2.64,2.16,1.137,78.11,101.86,95.04
12.39,85.15,3.3,1.75,1.158,78.0,101.8,94.35
12.76,88.99,2.46,2.67,1.162,78.2,101.77,94.09
11.78,85.13,3.63,2.71,1.18,78.52,102.9,95.25
11.59,85.69,3.71,2.01,1.178,78.37,103.43,94.67
11.8,84.66,2.77,2.17,1.145,78.02,101.72,94.63
12.17,84.93,2.77,1.98,1.163,78.18,101.77,94.22
12.38,88.47,3.47,2.01,1.171,78.24,102.17,94.22
12.71,85.41,2.87,2.35,1.174,78.33,102.03,94.74
12.73,83.75,3.79,2.09,1.166,78.32,102.93,95.02
12.71,79.16,3.31,2.09,1.151,78.32,102.02,95.63
12.82,84.74,3.48,2.2,1.151,78.29,102.54,95.11
12.4,81.67,2.23,2.44,1.151,78.14,101.52,94.57
11.08,81.99,2.74,1.98,1.133,77.99,101.68,94.76
11.92,87.75,2.67,1.5,1.143,77.73,101.16,93.19
12.19,87.56,3.37,2.49,1.176,78.28,102.73,94.66
11.77,81.78,3.22,2.53,1.179,78.28,103.02,95.5
12.55,87.87,2.81,2.33,1.143,78.19,101.91,94.34
11.78,87.01,2.96,3.15,1.177,78.5,103.03,94.78
11.44,84.28,2.76,1.77,1.141,77.95,101.36,94.25
12.87,87.62,2.33,2.11,1.145,78.01,101.23,93.52
12.4,82.42,3.12,2.55,1.157,78.44,102.79,95.39
12.13,83.35,3.36,2.69,1.183,78.35,102.28,95.33
12.56,82.83,2.33,2.2,1.132,78.04,100.95,94.52
12.64,83.55,2.79,1.7,1.146,78.11,100.74,94.16
12.2,87.93,3.14,2.89,1.178,78.39,103.37,94.82
10.53,83.07,2.27,2.45,1.143,77.98,101.83,94.48
11.59,83.47,2.39,2.9,1.166,78.24,102.08,94.78
11.73,83.91,3.09,1.62,1.155,78.01,101.6,94.33
11.41,86.43,3.03,1.93,1.148,78.03,101.35,94.27
12.12,85.25,2.53,2.7,1.172,78.18,102.1,94.53
12.72,87.9,2.85,3.17,1.17,78.57,103.41,94.55
11.71,84.44,2.86,3.13,1.182,78.5,103.16,95.04
11.32,83.16,2.32,2.9,1.148,78.12,102.72,94.81
13.22,84.89,2.77,3.06,1.178,78.24,102.71,94.68
11.73,86.08,2.25,2.54,1.139,77.96,101.99,94.09
11.26,83.94,2.31,2.03,1.136,77.91,101.21,94.26
12.14,86.6,3.1,1.75,1.153,77.97,101.75,94.11
12.26,89.98,3.31,2.42,1.161,78.26,102.71,94.31
11.58,84.71,2.56,2.47,1.136,78.17,102.13,94.57
12.47,86.08,2.91,1.56,1.135,77.89,101.59,93.74
11.71,88.96,3.34,2.79,1.187,78.43,103.11,94.58
11.45,84.55,2.79,2.66,1.167,78.27,102.49,94.94
12.11,84.11,3.17,1.59,1.135,78.12,101.53,94.23
12.46,83.57,3.36,1.99,1.168,78.22,102.28,94.58
11.62,86.85,2.88,2.62,1.163,78.32,102.23,94.71
12.2,87.1,3.01,2.0,1.159,78.1,102.12,94.22
11.94,85.64,3.6,1.67,1.148,78.28,102.26,94.37
13.69,86.06,3.16,1.83,1.155,77.98,101.91,94.08
11.57,88.77,3.34,3.09,1.202,78.47,103.45,94.82
12.83,87.87,3.43,2.68,1.174,78.41,102.89,94.78
11.97,82.88,3.4,3.14,1.19,78.76,103.32,95.5
11.92,85.94,2.55,2.81,1.169,78.35,102.04,94.38
12.43,86.19,2.49,2.33,1.153,77.96,101.5,94.17
12.54,87.54,2.74,2.64,1.166,78.19,102.56,94.31
12.76,85.46,3.22,3.12,1.187,78.58,103.47,95.18
12.2,84.53,3.54,1.62,1.139,78.13,101.6,94.3
11.64,84.94,2.48,1.58,1.127,77.86,100.59,93.71
11.68,82.03,3.34,2.12,1.15,78.19,102.67,95.13
12.31,85.89,3.76,1.89,1.168,78.15,102.92,94.44
12.35,84.63,3.42,2.59,1.155,78.47,103.17,95.14
12.84,86.96,3.62,1.92,1.179,78.35,102.93,94.24
12.25,83.68,3.17,2.69,1.194,78.25,102.64,95.26
12.64,84.98,2.57,2.38,1.156,77.94,101.96,94.47
12.91,83.78,3.14,2.07,1.148,78.12,101.91,94.69
12.1,83.59,2.27,3.21,1.164,78.13,103.06,94.76
11.11,87.47,3.49,2.16,1.177,78.33,102.64,94.69
11.29,84.9,3.05,2.56,1.175,78.2,102.66,95.14
11.14,86.9,3.73,2.51,1.177,78.54,103.28,95.18
12.95,83.46,3.36,2.95,1.198,78.49,103.13,95.61
11.49,86.14,2.36,2.55,1.158,78.09,101.82,94.22
12.74,82.2,3.68,1.79,1.168,78.28,101.73,95.17
12.35,84.87,3.44,2.0,1.159,78.21,102.2,94.82
13.03,84.81,3.6,2.91,1.192,78.5,103.26,95.55
12.6,87.2,2.8,2.54,1.154,78.29,102.48,94.4
11.94,86.31,2.95,3.19,1.185,78.36,103.52,94.74
11.88,85.53,3.09,1.64,1.137,78.11,101.6,93.93
